state,year,race3,proportion
GA,1943,black,0.00664126889563007
HI,1943,black,3.77862917044528e-05
IA,1943,black,0.000116561826626505
ID,1943,black,1.01993050042515e-05
IL,1943,black,0.00362677949451896
IN,1943,black,0.000950841699250175
KS,1943,black,0.000551857007439295
KY,1943,black,0.00151452305461579
LA,1943,black,0.0054681352674401
MA,1943,black,0.000504706512498502
MD,1943,black,0.0022188474735064
ME,1943,black,1.24128010292231e-05
MI,1943,black,0.0020536561160054
MN,1943,black,0.000100896461111707
MO,1943,black,0.00193147301462423
MS,1943,black,0.00637818057046883
MT,1943,black,1.51768661802539e-05
NC,1943,black,0.00567871669924299
ND,1943,black,3.67553710559129e-06
NE,1943,black,0.000112334613604684
NH,1943,black,3.77153819723405e-06
NJ,1943,black,0.00188238051163005
NM,1943,black,3.85930597814403e-05
NV,1943,black,2.7407642932424e-06
NY,1943,black,0.00527435308398082
OH,1943,black,0.00285371752157226
OK,1943,black,0.00116237471660022
OR,1943,black,4.40662750305365e-05
PA,1943,black,0.00394998146791289
RI,1943,black,8.05393338847823e-05
SC,1943,black,0.00457915450781106
SD,1943,black,1.36961397548267e-06
TN,1943,black,0.00332497710968204
TX,1943,black,0.00652561657620427
UT,1943,black,8.94360232643137e-06
VA,1943,black,0.00431703906601418
VT,1943,black,8.34564833793619e-07
WA,1943,black,0.000104181084352493
WI,1943,black,0.000121164633816162
WV,1943,black,0.000770849319960368
WY,1943,black,9.08933138913761e-06
AK,1944,black,3.77223151291047e-05
AL,1944,black,0.0057688159317902
AR,1944,black,0.00289357077887534
AZ,1944,black,0.000140655591711616
CA,1944,black,0.00198863078422535
CO,1944,black,0.000113568038156137
CT,1944,black,0.000287921811453399
DC,1944,black,0.00174227784352226
DE,1944,black,0.000263659504546025
FL,1944,black,0.00376054206243511
GA,1944,black,0.0064388424979835
HI,1944,black,4.16087143871248e-05
IA,1944,black,0.000117966349384805
ID,1944,black,8.83775592492896e-06
IL,1944,black,0.00381133984851732
IN,1944,black,0.000973253653919405
KS,1944,black,0.000564283827544041
KY,1944,black,0.00150261568876388
LA,1944,black,0.0053454017758855
MA,1944,black,0.000521566301496392
MD,1944,black,0.0022524500986418
ME,1944,black,1.42255183892918e-05
MI,1944,black,0.00221482114610089
MN,1944,black,0.000105500053803543
MO,1944,black,0.00197432121610492
MS,1944,black,0.00614317457857424
MT,1944,black,1.43109516145259e-05
NC,1944,black,0.00554430589520333
ND,1944,black,3.14501768345705e-06
NE,1944,black,0.000118150116601636
NH,1944,black,3.2460677320589e-06
NJ,1944,black,0.00192118400638307
NM,1944,black,3.81380078063099e-05
NV,1944,black,2.75099194958847e-06
NY,1944,black,0.00554731598843858
OH,1944,black,0.00293355028858859
OK,1944,black,0.00115182877303348
OR,1944,black,4.77185108092538e-05
PA,1944,black,0.00401519924170624
RI,1944,black,8.14526624906402e-05
SC,1944,black,0.00438388691615531
SD,1944,black,1.19280596892337e-06
TN,1944,black,0.00328685234195684
TX,1944,black,0.00653769697103863
UT,1944,black,9.24892067727082e-06
VA,1944,black,0.00425256902155388
VT,1944,black,7.17351760343701e-07
WA,1944,black,0.000124509278667852
WI,1944,black,0.000131440687248523
WV,1944,black,0.000755200351137785
WY,1944,black,1.02309529394666e-05
AK,1945,black,4.12047517828168e-05
AL,1945,black,0.00558283413630513
AR,1945,black,0.00280034564598913
AZ,1945,black,0.000142339691391995
CA,1945,black,0.00222358510509167
CO,1945,black,0.000121713424806498
CT,1945,black,0.000292677489089057
DC,1945,black,0.00179374653754323
DE,1945,black,0.000267113187992353
FL,1945,black,0.00377455569950214
GA,1945,black,0.00623691436345608
HI,1945,black,4.54849777912636e-05
IA,1945,black,0.000119381789841741
ID,1945,black,7.44317640696512e-06
IL,1945,black,0.00399671925194075
IN,1945,black,0.000995818077947143
KS,1945,black,0.000576770864090761
KY,1945,black,0.00149047830205468
LA,1945,black,0.00522348750265341
